DATE,PPI_Concrete
1/1/2005,156
2/1/2005,161.6
3/1/2005,159.2
4/1/2005,163.2
5/1/2005,163.2
6/1/2005,163.2
7/1/2005,163.2
8/1/2005,163.2
9/1/2005,163.2
10/1/2005,163.2
11/1/2005,163.2
12/1/2005,163.3
1/1/2006,167.4
2/1/2006,168.9
3/1/2006,168.9
4/1/2006,169.4
5/1/2006,169.4
6/1/2006,169.4
7/1/2006,169.4
8/1/2006,169.4
9/1/2006,169.4
10/1/2006,169.4
11/1/2006,169.4
12/1/2006,169.4
1/1/2007,173.4
2/1/2007,173.6
3/1/2007,175.7
4/1/2007,188.5
5/1/2007,188.5
6/1/2007,188.5
7/1/2007,188.5
8/1/2007,188.5
9/1/2007,188.5
10/1/2007,188.6
11/1/2007,188.6
12/1/2007,188.6
1/1/2008,189
2/1/2008,189
3/1/2008,189
4/1/2008,189
5/1/2008,188.3
6/1/2008,188.3
7/1/2008,188.7
8/1/2008,190.7
9/1/2008,191.2
10/1/2008,197.1
11/1/2008,197.1
12/1/2008,197.1
1/1/2009,197.1
2/1/2009,197.1
3/1/2009,197.1
4/1/2009,197.1
5/1/2009,197
6/1/2009,197
7/1/2009,197
8/1/2009,197
9/1/2009,197
10/1/2009,197
11/1/2009,197
12/1/2009,197
1/1/2010,196.5
2/1/2010,196.5
3/1/2010,196.5
4/1/2010,196
5/1/2010,196
6/1/2010,196
7/1/2010,196
8/1/2010,196
9/1/2010,196
10/1/2010,196
11/1/2010,196
12/1/2010,196
1/1/2011,196
2/1/2011,196
3/1/2011,196
4/1/2011,196
5/1/2011,198.8
6/1/2011,198.8
7/1/2011,198.8
8/1/2011,198.8
9/1/2011,198.8
10/1/2011,199.4
11/1/2011,199.4
12/1/2011,199.3
1/1/2012,199.3
2/1/2012,199.3
3/1/2012,199.3
4/1/2012,199.3
5/1/2012,200.8
6/1/2012,200.7
7/1/2012,200.7
8/1/2012,200.7
9/1/2012,200.7
10/1/2012,200.7
11/1/2012,200.7
12/1/2012,200.7
1/1/2013,201.4
2/1/2013,201.4
3/1/2013,201.4
4/1/2013,203.8
5/1/2013,203.8
6/1/2013,203.8
7/1/2013,203.8
8/1/2013,201.8
9/1/2013,201.8
10/1/2013,201.8
11/1/2013,201.8
12/1/2013,201.8
1/1/2014,207
2/1/2014,207
3/1/2014,207
4/1/2014,207
5/1/2014,207
6/1/2014,207
7/1/2014,207
8/1/2014,207
9/1/2014,207
10/1/2014,207
11/1/2014,207
12/1/2014,207.1
1/1/2015,208.2
2/1/2015,208.2
3/1/2015,208.2
4/1/2015,208.4
5/1/2015,208.4
6/1/2015,208.4
7/1/2015,208.4
8/1/2015,208.4
9/1/2015,208.4
10/1/2015,208.4
11/1/2015,208.4
12/1/2015,208.4
1/1/2016,214.8
2/1/2016,214.8
3/1/2016,215
4/1/2016,215.7
5/1/2016,215.7
6/1/2016,215.7
7/1/2016,215.7
8/1/2016,215.7
9/1/2016,215.7
10/1/2016,215.7
11/1/2016,215.7
12/1/2016,215.7
1/1/2017,217.4
2/1/2017,217.4
3/1/2017,217.2
4/1/2017,219.2
5/1/2017,219.2
6/1/2017,219.2
7/1/2017,219.2
8/1/2017,226.7
9/1/2017,248
10/1/2017,248
11/1/2017,248
12/1/2017,248
1/1/2018,230.9
2/1/2018,230.9
3/1/2018,240.5
4/1/2018,242.7
5/1/2018,245
6/1/2018,245
7/1/2018,245.1
8/1/2018,250.6
9/1/2018,250.6
10/1/2018,250.6
11/1/2018,250.6
12/1/2018,249
1/1/2019,250.7
2/1/2019,250.5
3/1/2019,252.4
4/1/2019,253.3
5/1/2019,256.5
6/1/2019,254.1
7/1/2019,253.4
8/1/2019,252.1
9/1/2019,253.4
10/1/2019,251.1
11/1/2019,251.9
12/1/2019,252.7
1/1/2020,252.9
2/1/2020,253.7
3/1/2020,257.2
4/1/2020,257.6
5/1/2020,263.3
6/1/2020,263.3
7/1/2020,261.4
8/1/2020,261.4
9/1/2020,263.3
10/1/2020,263.3
11/1/2020,263.3
12/1/2020,263.3
1/1/2021,263.5
2/1/2021,264.4
3/1/2021,264.3
4/1/2021,265.7
5/1/2021,269
6/1/2021,269
7/1/2021,271.816
8/1/2021,271.816
9/1/2021,271.816
10/1/2021,271.816
11/1/2021,278.675
12/1/2021,278.675
1/1/2022,293.546
2/1/2022,301.302
3/1/2022,301.302
4/1/2022,304.653
5/1/2022,304.653
6/1/2022,309.714
7/1/2022,309.714
8/1/2022,309.714
9/1/2022,310.892
10/1/2022,310.892
11/1/2022,310.892
12/1/2022,310.892
1/1/2023,331.353
2/1/2023,331.353
3/1/2023,333.027
4/1/2023,336.455
5/1/2023,336.455
6/1/2023,336.455
7/1/2023,336.455
8/1/2023,5.821132
9/1/2023,5.821152
10/1/2023,5.821162
11/1/2023,5.821165
12/1/2023,5.821166
1/1/2024,5.806197658
2/1/2024,5.906197657
3/1/2024,5.811221828
4/1/2024,5.832432168
5/1/2024,5.931432168
6/1/2024,5.821432167
7/1/2024,5.831432168
8/1/2024,5.921132
9/1/2024,5.899152
10/1/2024,5.825162
11/1/2024,5.7721165
12/1/2024,5.421166
1/1/2025,5.809997657
2/1/2025,5.806187957
3/1/2025,5.844221828
4/1/2025,5.824432168
