DATE,emratio
1/1/2005,62.4
2/1/2005,62.4
3/1/2005,62.4
4/1/2005,62.7
5/1/2005,62.8
6/1/2005,62.7
7/1/2005,62.8
8/1/2005,62.9
9/1/2005,62.8
10/1/2005,62.8
11/1/2005,62.7
12/1/2005,62.8
1/1/2006,62.9
2/1/2006,63
3/1/2006,63.1
4/1/2006,63
5/1/2006,63.1
6/1/2006,63.1
7/1/2006,63
8/1/2006,63.1
9/1/2006,63.1
10/1/2006,63.3
11/1/2006,63.3
12/1/2006,63.4
1/1/2007,63.3
2/1/2007,63.3
3/1/2007,63.3
4/1/2007,63
5/1/2007,63
6/1/2007,63
7/1/2007,62.9
8/1/2007,62.7
9/1/2007,62.9
10/1/2007,62.7
11/1/2007,62.9
12/1/2007,62.7
1/1/2008,62.9
2/1/2008,62.8
3/1/2008,62.7
4/1/2008,62.7
5/1/2008,62.5
6/1/2008,62.4
7/1/2008,62.2
8/1/2008,62
9/1/2008,61.9
10/1/2008,61.7
11/1/2008,61.4
12/1/2008,61
1/1/2009,60.6
2/1/2009,60.3
3/1/2009,59.9
4/1/2009,59.8
5/1/2009,59.6
6/1/2009,59.4
7/1/2009,59.3
8/1/2009,59.1
9/1/2009,58.7
10/1/2009,58.5
11/1/2009,58.6
12/1/2009,58.3
1/1/2010,58.5
2/1/2010,58.5
3/1/2010,58.5
4/1/2010,58.7
5/1/2010,58.6
6/1/2010,58.5
7/1/2010,58.5
8/1/2010,58.6
9/1/2010,58.5
10/1/2010,58.3
11/1/2010,58.2
12/1/2010,58.3
1/1/2011,58.3
2/1/2011,58.4
3/1/2011,58.4
4/1/2011,58.4
5/1/2011,58.3
6/1/2011,58.2
7/1/2011,58.2
8/1/2011,58.3
9/1/2011,58.4
10/1/2011,58.4
11/1/2011,58.6
12/1/2011,58.6
1/1/2012,58.4
2/1/2012,58.5
3/1/2012,58.5
4/1/2012,58.4
5/1/2012,58.5
6/1/2012,58.6
7/1/2012,58.5
8/1/2012,58.4
9/1/2012,58.7
10/1/2012,58.8
11/1/2012,58.7
12/1/2012,58.7
1/1/2013,58.6
2/1/2013,58.6
3/1/2013,58.5
4/1/2013,58.6
5/1/2013,58.6
6/1/2013,58.6
7/1/2013,58.7
8/1/2013,58.7
9/1/2013,58.7
10/1/2013,58.3
11/1/2013,58.6
12/1/2013,58.7
1/1/2014,58.8
2/1/2014,58.7
3/1/2014,58.9
4/1/2014,58.9
5/1/2014,58.9
6/1/2014,59
7/1/2014,59
8/1/2014,59
9/1/2014,59.1
10/1/2014,59.3
11/1/2014,59.2
12/1/2014,59.3
1/1/2015,59.3
2/1/2015,59.2
3/1/2015,59.2
4/1/2015,59.3
5/1/2015,59.4
6/1/2015,59.4
7/1/2015,59.3
8/1/2015,59.4
9/1/2015,59.2
10/1/2015,59.3
11/1/2015,59.4
12/1/2015,59.6
1/1/2016,59.7
2/1/2016,59.8
3/1/2016,59.8
4/1/2016,59.7
5/1/2016,59.7
6/1/2016,59.7
7/1/2016,59.8
8/1/2016,59.8
9/1/2016,59.7
10/1/2016,59.7
11/1/2016,59.7
12/1/2016,59.7
1/1/2017,59.9
2/1/2017,60
3/1/2017,60.2
4/1/2017,60.2
5/1/2017,60.1
6/1/2017,60.1
7/1/2017,60.2
8/1/2017,60.1
9/1/2017,60.4
10/1/2017,60.1
11/1/2017,60.1
12/1/2017,60.1
1/1/2018,60.1
2/1/2018,60.4
3/1/2018,60.4
4/1/2018,60.4
5/1/2018,60.5
6/1/2018,60.5
7/1/2018,60.6
8/1/2018,60.3
9/1/2018,60.4
10/1/2018,60.5
11/1/2018,60.6
12/1/2018,60.6
1/1/2019,60.6
2/1/2019,60.7
3/1/2019,60.6
4/1/2019,60.6
5/1/2019,60.6
6/1/2019,60.7
7/1/2019,60.8
8/1/2019,60.8
9/1/2019,61
10/1/2019,61
11/1/2019,61
12/1/2019,61
1/1/2020,61.1
2/1/2020,61.1
3/1/2020,59.8
4/1/2020,51.3
5/1/2020,52.7
6/1/2020,54.7
7/1/2020,55.2
8/1/2020,56.5
9/1/2020,56.6
10/1/2020,57.4
11/1/2020,57.4
12/1/2020,57.4
1/1/2021,57.5
2/1/2021,57.6
3/1/2021,57.8
4/1/2021,57.9
5/1/2021,58
6/1/2021,58
7/1/2021,58.4
8/1/2021,58.6
9/1/2021,58.8
10/1/2021,59
11/1/2021,59.4
12/1/2021,59.5
1/1/2022,59.7
2/1/2022,59.8
3/1/2022,60.1
4/1/2022,59.9
5/1/2022,60
6/1/2022,59.9
7/1/2022,59.9
8/1/2022,60.1
9/1/2022,60.1
10/1/2022,60
11/1/2022,59.9
12/1/2022,60.1
1/1/2023,60.2
2/1/2023,60.2
3/1/2023,60.4
4/1/2023,60.4
5/1/2023,60.3
6/1/2023,60.3
7/1/2023,60.4
8/1/2023,60.3
9/1/2023,60.3
10/1/2023,60.3
11/1/2023,60.3
12/1/2023,60.5
1/1/2024,59.2
2/1/2024,61.2
3/1/2024,60.3
4/1/2024,61.4
5/1/2024,60.2
6/1/2024,61.3
7/1/2024,61.4
8/1/2024,60.6
9/1/2024,60.3
10/1/2024,60.3
11/1/2024,62.3
12/1/2024,61.5
1/1/2025,60.6
2/1/2025,61.2
3/1/2025,60.9
4/1/2025,60.4
