DATE,income
1/1/2005,10247
2/1/2005,10282.7
3/1/2005,10347.9
4/1/2005,10412.1
5/1/2005,10464.1
6/1/2005,10498
7/1/2005,10558.3
8/1/2005,10619.6
9/1/2005,10687.7
10/1/2005,10767.3
11/1/2005,10815.4
12/1/2005,10853.1
1/1/2006,11038.6
2/1/2006,11102.6
3/1/2006,11171.8
4/1/2006,11229.5
5/1/2006,11251.1
6/1/2006,11292.8
7/1/2006,11322.1
8/1/2006,11346.8
9/1/2006,11383.9
10/1/2006,11417.8
11/1/2006,11479.3
12/1/2006,11587.6
1/1/2007,11647.1
2/1/2007,11734.2
3/1/2007,11821.4
4/1/2007,11868.1
5/1/2007,11908.7
6/1/2007,11929.2
7/1/2007,11955.7
8/1/2007,11963.1
9/1/2007,12025.5
10/1/2007,12046.8
11/1/2007,12102.8
12/1/2007,12182.7
1/1/2008,12227.8
2/1/2008,12264.9
3/1/2008,12314.7
4/1/2008,12302.6
5/1/2008,12879.3
6/1/2008,12661
7/1/2008,12514.8
8/1/2008,12426
9/1/2008,12445
10/1/2008,12446.5
11/1/2008,12387.1
12/1/2008,12238.5
1/1/2009,12125.6
2/1/2009,12007.4
3/1/2009,11965.3
4/1/2009,12009.4
5/1/2009,12179.6
6/1/2009,12042.9
7/1/2009,11998.4
8/1/2009,12011.2
9/1/2009,12061.1
10/1/2009,12069.4
11/1/2009,12129.6
12/1/2009,12188.2
1/1/2010,12267.7
2/1/2010,12267.6
3/1/2010,12330.9
4/1/2010,12441.8
5/1/2010,12543.7
6/1/2010,12550.7
7/1/2010,12588.7
8/1/2010,12652.9
9/1/2010,12673.4
10/1/2010,12723.6
11/1/2010,12765.5
12/1/2010,12873.1
1/1/2011,13080.7
2/1/2011,13155.6
3/1/2011,13178.2
4/1/2011,13212.8
5/1/2011,13239.1
6/1/2011,13295.7
7/1/2011,13375.8
8/1/2011,13400.3
9/1/2011,13401.5
10/1/2011,13406.4
11/1/2011,13419.7
12/1/2011,13548.9
1/1/2012,13631.6
2/1/2012,13731.1
3/1/2012,13798.5
4/1/2012,13868.1
5/1/2012,13850.3
6/1/2012,13837.1
7/1/2012,13752.9
8/1/2012,13768.5
9/1/2012,13914.1
10/1/2012,14049.2
11/1/2012,14230.7
12/1/2012,14581.4
1/1/2013,13880.4
2/1/2013,13902
3/1/2013,13932.2
4/1/2013,13974.9
5/1/2013,14052.5
6/1/2013,14083.9
7/1/2013,14072
8/1/2013,14117.3
9/1/2013,14181.7
10/1/2013,14152.3
11/1/2013,14209.6
12/1/2013,14266.5
1/1/2014,14369.2
2/1/2014,14456.4
3/1/2014,14555
4/1/2014,14624.5
5/1/2014,14689.5
6/1/2014,14760.1
7/1/2014,14821.1
8/1/2014,14894.2
9/1/2014,14951.2
10/1/2014,15022.7
11/1/2014,15094
12/1/2014,15170.9
1/1/2015,15230.8
2/1/2015,15313.3
3/1/2015,15314.2
4/1/2015,15373.5
5/1/2015,15442.7
6/1/2015,15479
7/1/2015,15518.6
8/1/2015,15550.5
9/1/2015,15570.5
10/1/2015,15608
11/1/2015,15615.4
12/1/2015,15668.4
1/1/2016,15695.5
2/1/2016,15695.9
3/1/2016,15731.6
4/1/2016,15758.9
5/1/2016,15777.2
6/1/2016,15821.4
7/1/2016,15891.5
8/1/2016,15931.3
9/1/2016,15999.1
10/1/2016,16059.4
11/1/2016,16107.6
12/1/2016,16182.5
1/1/2017,16293.3
2/1/2017,16363.5
3/1/2017,16415.1
4/1/2017,16476
5/1/2017,16573.2
6/1/2017,16604
7/1/2017,16665.9
8/1/2017,16733.7
9/1/2017,16841.9
10/1/2017,16930.8
11/1/2017,16997.5
12/1/2017,17058.2
1/1/2018,17141.7
2/1/2018,17204.1
3/1/2018,17268.2
4/1/2018,17328.7
5/1/2018,17404.4
6/1/2018,17488.4
7/1/2018,17587.6
8/1/2018,17664
9/1/2018,17693.5
10/1/2018,17749.8
11/1/2018,17795.7
12/1/2018,18012.4
1/1/2019,18053.9
2/1/2019,18151.4
3/1/2019,18229.5
4/1/2019,18262.1
5/1/2019,18277
6/1/2019,18310.5
7/1/2019,18328.6
8/1/2019,18423.6
9/1/2019,18474.4
10/1/2019,18549.5
11/1/2019,18630.7
12/1/2019,18583.8
1/1/2020,18821.5
2/1/2020,18925.6
3/1/2020,18577.4
4/1/2020,20750.9
5/1/2020,19877.2
6/1/2020,19920.9
7/1/2020,20191.5
8/1/2020,19594.2
9/1/2020,19744.9
10/1/2020,19758.5
11/1/2020,19610.4
12/1/2020,19775.2
1/1/2021,21760.9
2/1/2021,20254
3/1/2021,24471.8
4/1/2021,21304.2
5/1/2021,20899.7
6/1/2021,20934.3
7/1/2021,21156.5
8/1/2021,21207.3
9/1/2021,21051.2
10/1/2021,21201.4
11/1/2021,21297.7
12/1/2021,21352.9
1/1/2022,21294.8
2/1/2022,21426.2
3/1/2022,21510.5
4/1/2022,21581.3
5/1/2022,21657.1
6/1/2022,21740.7
7/1/2022,21910.5
8/1/2022,22024.3
9/1/2022,22121.5
10/1/2022,22242.2
11/1/2022,22267.7
12/1/2022,22312.3
1/1/2023,22525.3
2/1/2023,22648.4
3/1/2023,22757.9
4/1/2023,22815.8
5/1/2023,22893.1
6/1/2023,22941.5
7/1/2023,22994.3
8/1/2023,22994.2
9/1/2023,22994.5
10/1/2023,22984.5
11/1/2023,22985.5
12/1/2023,22986.5
1/1/2024,22545.3
2/1/2024,22348.4
3/1/2024,22857.9
4/1/2024,22865.8
5/1/2024,22993.1
6/1/2024,22981.5
7/1/2024,22974.3
8/1/2024,22954.2
9/1/2024,22974.5
10/1/2024,22884.5
11/1/2024,22988.5
12/1/2024,22786.5
1/1/2025,22585.3
2/1/2025,22748.4
3/1/2025,22767.9
4/1/2025,22895.8
