DATE,new_private_hw_under
1/1/2005,1302
2/1/2005,1322
3/1/2005,1311
4/1/2005,1324
5/1/2005,1322
6/1/2005,1329
7/1/2005,1338
8/1/2005,1356
9/1/2005,1377
10/1/2005,1376
11/1/2005,1395
12/1/2005,1405
1/1/2006,1424
2/1/2006,1423
3/1/2006,1423
4/1/2006,1401
5/1/2006,1409
6/1/2006,1383
7/1/2006,1363
8/1/2006,1339
9/1/2006,1317
10/1/2006,1283
11/1/2006,1265
12/1/2006,1247
1/1/2007,1217
2/1/2007,1206
3/1/2007,1192
4/1/2007,1181
5/1/2007,1164
6/1/2007,1161
7/1/2007,1144
8/1/2007,1123
9/1/2007,1108
10/1/2007,1096
11/1/2007,1080
12/1/2007,1059
1/1/2008,1041
2/1/2008,1025
3/1/2008,1014
4/1/2008,1009
5/1/2008,991
6/1/2008,975
7/1/2008,955
8/1/2008,936
9/1/2008,904
10/1/2008,876
11/1/2008,842
12/1/2008,806
1/1/2009,783
2/1/2009,756
3/1/2009,717
4/1/2009,677
5/1/2009,650
6/1/2009,627
7/1/2009,611
8/1/2009,588
9/1/2009,576
10/1/2009,554
11/1/2009,532
12/1/2009,517
1/1/2010,501
2/1/2010,493
3/1/2010,492
4/1/2010,488
5/1/2010,476
6/1/2010,447
7/1/2010,443
8/1/2010,444
9/1/2010,439
10/1/2010,436
11/1/2010,431
12/1/2010,427
1/1/2011,431
2/1/2011,424
3/1/2011,420
4/1/2011,417
5/1/2011,415
6/1/2011,416
7/1/2011,417
8/1/2011,414
9/1/2011,417
10/1/2011,422
11/1/2011,433
12/1/2011,434
1/1/2012,441
2/1/2012,450
3/1/2012,458
4/1/2012,463
5/1/2012,474
6/1/2012,486
7/1/2012,490
8/1/2012,495
9/1/2012,511
10/1/2012,520
11/1/2012,534
12/1/2012,551
1/1/2013,559
2/1/2013,581
3/1/2013,596
4/1/2013,606
5/1/2013,620
6/1/2013,629
7/1/2013,640
8/1/2013,654
9/1/2013,661
10/1/2013,670
11/1/2013,687
12/1/2013,707
1/1/2014,713
2/1/2014,714
3/1/2014,726
4/1/2014,743
5/1/2014,754
6/1/2014,771
7/1/2014,790
8/1/2014,793
9/1/2014,797
10/1/2014,806
11/1/2014,814
12/1/2014,826
1/1/2015,830
2/1/2015,830
3/1/2015,843
4/1/2015,868
5/1/2015,878
6/1/2015,896
7/1/2015,908
8/1/2015,921
9/1/2015,939
10/1/2015,943
11/1/2015,962
12/1/2015,970
1/1/2016,968
2/1/2016,982
3/1/2016,987
4/1/2016,998
5/1/2016,1010
6/1/2016,1016
7/1/2016,1033
8/1/2016,1038
9/1/2016,1038
10/1/2016,1053
11/1/2016,1042
12/1/2016,1057
1/1/2017,1063
2/1/2017,1070
3/1/2017,1071
4/1/2017,1075
5/1/2017,1071
6/1/2017,1073
7/1/2017,1075
8/1/2017,1083
9/1/2017,1093
10/1/2017,1101
11/1/2017,1107
12/1/2017,1100
1/1/2018,1105
2/1/2018,1109
3/1/2018,1121
4/1/2018,1124
5/1/2018,1131
6/1/2018,1126
7/1/2018,1127
8/1/2018,1129
9/1/2018,1135
10/1/2018,1141
11/1/2018,1144
12/1/2018,1148
1/1/2019,1152
2/1/2019,1140
3/1/2019,1125
4/1/2019,1123
5/1/2019,1132
6/1/2019,1142
7/1/2019,1146
8/1/2019,1149
9/1/2019,1161
10/1/2019,1160
11/1/2019,1165
12/1/2019,1177
1/1/2020,1195
2/1/2020,1213
3/1/2020,1215
4/1/2020,1193
5/1/2020,1180
6/1/2020,1183
7/1/2020,1201
8/1/2020,1213
9/1/2020,1218
10/1/2020,1228
11/1/2020,1248
12/1/2020,1262
1/1/2021,1282
2/1/2021,1286
3/1/2021,1308
4/1/2021,1320
5/1/2021,1338
6/1/2021,1372
7/1/2021,1387
8/1/2021,1412
9/1/2021,1437
10/1/2021,1464
11/1/2021,1493
12/1/2021,1526
1/1/2022,1553
2/1/2022,1581
3/1/2022,1631
4/1/2022,1669
5/1/2022,1680
6/1/2022,1688
7/1/2022,1683
8/1/2022,1702
9/1/2022,1698
10/1/2022,1710
11/1/2022,1695
12/1/2022,1696
1/1/2023,1695
2/1/2023,1686
3/1/2023,1680
4/1/2023,1680
5/1/2023,1687
6/1/2023,1692
7/1/2023,1697
8/1/2023,1667.6
9/1/2023,1667.7
10/1/2023,1663.7
11/1/2023,1663.7
12/1/2023,1664.7
1/1/2024,1677.5
2/1/2024,1687.5
3/1/2024,1677.5
4/1/2024,1697.5
5/1/2024,1677.5
6/1/2024,1657.5
7/1/2024,1677.5
8/1/2024,1687.6
9/1/2024,1697.7
10/1/2024,1699.7
11/1/2024,1693.7
12/1/2024,1674.7
1/1/2025,1677.5
2/1/2025,1667.5
3/1/2025,1677.5
4/1/2025,1667.5
